iter	MultiClass
0	1.46717091
1	1.367076607
2	1.290933396
3	1.231362371
4	1.182678956
5	1.14336964
6	1.111402503
7	1.084287114
8	1.061580928
9	1.042278063
10	1.025233489
11	1.010771069
12	0.9981020546
13	0.9871289232
14	0.978021213
15	0.9694570149
16	0.9626647054
17	0.956521884
18	0.9506310982
19	0.9464051751
20	0.9426939934
21	0.9387926388
22	0.9359492393
23	0.9335994539
24	0.9309148381
25	0.9286502939
26	0.92697316
27	0.9252062459
28	0.9236021468
29	0.9221745267
30	0.9207130825
31	0.9199226372
32	0.9190799049
33	0.9180949683
34	0.9174565003
35	0.9166693344
36	0.9160407164
37	0.9152355434
38	0.9145643156
39	0.9143358233
40	0.913691745
41	0.9131003781
42	0.9127992847
43	0.9126537827
44	0.9122540422
45	0.9119682691
46	0.9116088319
47	0.9114101989
48	0.9113370157
49	0.9110167031
50	0.9109755735
51	0.9106371034
52	0.9105022736
53	0.9103684574
54	0.9100816192
55	0.9100278611
56	0.9097325278
57	0.909652143
58	0.9094996652
59	0.9092740111
60	0.9091763656
61	0.9090652183
62	0.9088907967
63	0.9087163506
64	0.9084926688
65	0.9084212481
66	0.9083018937
67	0.9082032011
68	0.9080651227
69	0.9080623791
70	0.9079128545
71	0.9078316888
72	0.9076349101
73	0.9076220509
74	0.9075640454
75	0.9075415813
76	0.9075112838
77	0.9074652047
78	0.9073954046
79	0.9072827164
80	0.907200697
81	0.9070382306
82	0.9069575021
83	0.9069461778
84	0.9068526394
85	0.9067933269
86	0.9065856832
87	0.9064828031
88	0.9064364771
89	0.9063687406
90	0.9063008974
91	0.9062464594
92	0.9061564522
93	0.9060581697
94	0.9058859308
95	0.9058114666
96	0.9056894006
97	0.9056341645
98	0.905520703
99	0.9054600762
100	0.905405716
101	0.9053214835
102	0.9052409595
103	0.9051927562
104	0.9051222198
105	0.9051184726
106	0.9050304225
107	0.904927668
108	0.9048231945
109	0.9047990423
110	0.9047230679
111	0.9046288025
112	0.9046200981
113	0.9045602654
114	0.9044298352
115	0.9043579988
116	0.9042413789
117	0.90409257
118	0.9040050554
119	0.9038840581
120	0.9037858447
121	0.9037515027
122	0.9036798196
123	0.9035881843
124	0.9035038104
125	0.9034348789
126	0.9033455353
127	0.903303591
128	0.9032004825
129	0.9031111503
130	0.9030229834
131	0.9029471712
132	0.9028422271
133	0.9027907509
134	0.9027327796
135	0.9026622219
136	0.9025913584
137	0.9025173485
138	0.9024403111
139	0.9023879063
140	0.9023237633
141	0.9022121191
142	0.9021068276
143	0.9020626131
144	0.9020021898
145	0.9019684066
146	0.9019127719
147	0.9018535852
148	0.9017192795
149	0.9016253602
150	0.9015287039
151	0.901428018
152	0.9013431275
153	0.9011852746
154	0.9011146609
155	0.9010623852
156	0.9009103641
157	0.9007967958
158	0.9007116066
159	0.9006691138
160	0.9006092713
161	0.9005552862
162	0.9004867695
163	0.9003990475
164	0.9003099438
165	0.9002188978
166	0.9001410792
167	0.9000548226
168	0.8999456626
169	0.8998879165
170	0.8998176417
171	0.8997420324
172	0.8996285333
173	0.8995584461
174	0.8994687152
175	0.8993429062
176	0.8992963783
177	0.8992170615
178	0.8991576786
179	0.8991138711
180	0.8990350389
181	0.8989449577
182	0.8988116135
183	0.8987098983
184	0.8986359918
185	0.8985143056
186	0.8984282196
187	0.8983851764
188	0.8983141785
189	0.8982531051
190	0.898169186
191	0.8980774014
192	0.8980232629
193	0.8979493982
194	0.8978954203
195	0.8978023272
196	0.8977361886
197	0.8977198211
198	0.8976494719
199	0.8976048251
200	0.8975505921
201	0.8974906873
202	0.897456135
203	0.8974106619
204	0.8973287241
205	0.8972162947
206	0.8971765514
207	0.8971199766
208	0.8970783405
209	0.8970240354
210	0.8969733303
211	0.8969273838
