iter	Passed	Remaining
0	159	158962
1	164	81922
2	177	58971
3	188	46848
4	199	39795
5	211	35013
6	216	30681
7	225	28007
8	233	25677
9	241	23888
10	248	22323
11	258	21316
12	268	20392
13	279	19682
14	289	18985
15	297	18290
16	303	17541
17	313	17076
18	324	16733
19	327	16069
20	332	15510
21	342	15226
22	347	14740
23	351	14301
24	360	14065
25	371	13915
26	379	13668
27	389	13518
28	396	13276
29	407	13160
30	416	13019
31	420	12731
32	429	12585
33	439	12486
34	450	12407
35	459	12293
36	468	12190
37	476	12066
38	486	11975
39	490	11760
40	499	11680
41	506	11563
42	515	11474
43	519	11292
44	528	11214
45	537	11145
46	546	11081
47	554	10995
48	559	10849
49	569	10812
50	572	10657
51	582	10617
52	589	10535
53	599	10500
54	608	10448
55	613	10347
56	621	10276
57	628	10205
58	635	10130
59	645	10106
60	653	10058
61	663	10035
62	671	9982
63	681	9962
64	691	9953
65	698	9889
66	709	9879
67	718	9844
68	728	9831
69	732	9735
70	743	9729
71	752	9693
72	761	9675
73	768	9615
74	779	9610
75	785	9548
76	793	9514
77	801	9476
78	811	9461
79	820	9438
80	828	9399
81	839	9392
82	846	9355
83	854	9319
84	862	9281
85	870	9253
86	878	9220
87	888	9204
88	895	9169
89	904	9146
90	911	9103
91	919	9074
92	926	9038
93	936	9027
94	944	9000
95	954	8984
96	961	8954
97	970	8931
98	978	8906
99	987	8884
100	995	8856
101	1004	8844
102	1012	8818
103	1022	8806
104	1031	8793
105	1035	8736
106	1043	8711
107	1052	8695
108	1061	8676
109	1069	8649
110	1077	8626
111	1087	8620
112	1092	8571
113	1101	8557
114	1108	8529
115	1117	8515
116	1125	8492
117	1134	8480
118	1142	8462
119	1153	8457
120	1162	8443
121	1169	8418
122	1178	8405
123	1186	8379
124	1195	8366
125	1202	8342
126	1211	8327
127	1219	8306
128	1229	8300
129	1237	8283
130	1248	8279
131	1257	8272
132	1266	8258
133	1276	8249
134	1284	8227
135	1293	8215
136	1301	8199
137	1311	8192
138	1319	8175
139	1329	8166
140	1338	8151
141	1347	8143
142	1357	8135
143	1365	8115
144	1375	8110
145	1382	8085
146	1391	8073
147	1398	8052
148	1408	8043
149	1415	8019
150	1424	8009
151	1432	7993
152	1442	7987
153	1451	7976
154	1460	7959
155	1470	7955
156	1478	7938
157	1487	7926
158	1494	7905
159	1503	7895
160	1512	7881
161	1521	7872
162	1528	7850
163	1537	7838
164	1546	7825
165	1555	7813
166	1563	7798
167	1573	7793
168	1583	7788
169	1591	7772
170	1601	7763
171	1609	7749
172	1620	7745
173	1627	7727
174	1636	7713
175	1642	7691
176	1651	7680
177	1659	7664
178	1669	7656
179	1676	7639
180	1686	7629
181	1693	7610
182	1702	7601
183	1710	7584
184	1719	7576
185	1728	7565
186	1737	7554
187	1746	7542
188	1753	7524
189	1762	7513
190	1770	7497
191	1779	7489
192	1786	7471
193	1795	7461
194	1803	7445
195	1812	7436
196	1820	7421
197	1829	7411
198	1837	7395
199	1846	7384
200	1854	7371
201	1863	7361
202	1870	7345
203	1880	7337
204	1889	7328
205	1899	7320
206	1909	7313
207	1916	7297
208	1925	7286
209	1932	7271
210	1942	7262
211	1950	7249
212	1958	7237
213	1966	7221
214	1975	7212
215	1982	7196
